"Code département";"Libellé département";"Code secteur";"Libellé secteur";"Code BV";"Inscrits";"Votants";"% Votants";"Abstentions";"% Abstentions";"Exprimés";"% Exprimés/inscrits";"% Exprimés/votants";"Blancs";"% Blancs/inscrits";"% Blancs/votants";"Nuls";"% Nuls/inscrits";"% Nuls/votants";"Numéro de panneau 1";"Nom candidat 1";"Prénom candidat 1";"Sexe candidat 1";"Nuance liste 1";"Libellé abrégé de liste 1";"Libellé de liste 1";"Voix 1";"% Voix/inscrits 1";"% Voix/exprimés 1";"Elu 1";"Sièges 1";"Numéro de panneau 2";"Nom candidat 2";"Prénom candidat 2";"Sexe candidat 2";"Nuance liste 2";"Libellé abrégé de liste 2";"Libellé de liste 2";"Voix 2";"% Voix/inscrits 2";"% Voix/exprimés 2";"Elu 2";"Sièges 2";"Numéro de panneau 3";"Nom candidat 3";"Prénom candidat 3";"Sexe candidat 3";"Nuance liste 3";"Libellé abrégé de liste 3";"Libellé de liste 3";"Voix 3";"% Voix/inscrits 3";"% Voix/exprimés 3";"Elu 3";"Sièges 3";"Numéro de panneau 4";"Nom candidat 4";"Prénom candidat 4";"Sexe candidat 4";"Nuance liste 4";"Libellé abrégé de liste 4";"Libellé de liste 4";"Voix 4";"% Voix/inscrits 4";"% Voix/exprimés 4";"Elu 4";"Sièges 4"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0101";"1258";"598";"47,54%";"660";"52,46%";"591";"46,98%";"98,83%";"2";"0,16%";"0,33%";"5";"0,40%";"0,84%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"251";"19,95%";"42,47%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"282";"22,42%";"47,72%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"42";"3,34%";"7,11%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"16";"1,27%";"2,71%";"";"1"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0102";"950";"497";"52,32%";"453";"47,68%";"491";"51,68%";"98,79%";"3";"0,32%";"0,60%";"3";"0,32%";"0,60%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"154";"16,21%";"31,36%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"245";"25,79%";"49,90%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"69";"7,26%";"14,05%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"23";"2,42%";"4,68%";"";"1"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0104";"1070";"444";"41,50%";"626";"58,50%";"438";"40,93%";"98,65%";"3";"0,28%";"0,68%";"3";"0,28%";"0,68%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"197";"18,41%";"44,98%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"206";"19,25%";"47,03%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"22";"2,06%";"5,02%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"13";"1,21%";"2,97%";"";"1"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0121";"1360";"706";"51,91%";"654";"48,09%";"698";"51,32%";"98,87%";"4";"0,29%";"0,57%";"4";"0,29%";"0,57%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"178";"13,09%";"25,50%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"374";"27,50%";"53,58%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"117";"8,60%";"16,76%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"29";"2,13%";"4,15%";"";"1"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0122";"1531";"755";"49,31%";"776";"50,69%";"749";"48,92%";"99,21%";"3";"0,20%";"0,40%";"3";"0,20%";"0,40%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"263";"17,18%";"35,11%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"390";"25,47%";"52,07%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"76";"4,96%";"10,15%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"20";"1,31%";"2,67%";"";"1"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0125";"998";"576";"57,72%";"422";"42,28%";"571";"57,21%";"99,13%";"1";"0,10%";"0,17%";"4";"0,40%";"0,69%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"99";"9,92%";"17,34%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"310";"31,06%";"54,29%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"118";"11,82%";"20,67%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"44";"4,41%";"7,71%";"";"1"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0126";"1263";"765";"60,57%";"498";"39,43%";"757";"59,94%";"98,95%";"7";"0,55%";"0,92%";"1";"0,08%";"0,13%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"276";"21,85%";"36,46%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"402";"31,83%";"53,10%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"65";"5,15%";"8,59%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"14";"1,11%";"1,85%";"";"1"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0127";"1176";"726";"61,73%";"450";"38,27%";"722";"61,39%";"99,45%";"2";"0,17%";"0,28%";"2";"0,17%";"0,28%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"253";"21,51%";"35,04%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"392";"33,33%";"54,29%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"60";"5,10%";"8,31%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"17";"1,45%";"2,35%";"";"1"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0128";"1207";"785";"65,04%";"422";"34,96%";"779";"64,54%";"99,24%";"5";"0,41%";"0,64%";"1";"0,08%";"0,13%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"268";"22,20%";"34,40%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"409";"33,89%";"52,50%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"77";"6,38%";"9,88%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"25";"2,07%";"3,21%";"";"1"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"0141";"1014";"431";"42,50%";"583";"57,50%";"426";"42,01%";"98,84%";"3";"0,30%";"0,70%";"2";"0,20%";"0,46%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"158";"15,58%";"37,09%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"226";"22,29%";"53,05%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"30";"2,96%";"7,04%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"12";"1,18%";"2,82%";"";"1"
