"Code du département";"Libellé du département";"Code de la collectivité à statut particulier";"Libellé de la collectivité à statut particulier";"Code de la commune";"Libellé de la commune";"Nom de l'élu";"Prénom de l'élu";"Code sexe";"Date de naissance";"Code de la catégorie socio-professionnelle";"Libellé de la catégorie socio-professionnelle";"Date de début du mandat";"Date de début de la fonction"
1;"Ain";;;1001;"L'Abergement-Clémenciat";"EVALET TAPONAT";"Line";"F";1967-07-22;38;"Ingénieur et cadre technique d'entreprise";2026-03-15;2026-03-23
1;"Ain";;;1002;"L'Abergement-De-Varey";"COUROUBLE";"François";"M";1958-02-21;31;"Profession libérale";2026-03-15;2026-03-20
1;"Ain";;;1004;"Ambérieu-En-Bugey";"FABRE";"Daniel";"M";1961-09-07;74;"Ancien cadre";2026-03-15;2026-03-20
1;"Ain";;;1005;"Ambérieux-En-Dombes";"FORNES";"Christine";"F";1962-07-06;21;"Artisan";2026-03-15;2026-03-20
1;"Ain";;;1006;"Ambléon";"RAFFRON";"Gael";"M";1975-09-13;22;"Commerçant et assimilé";2026-03-15;2026-03-20
1;"Ain";;;1007;"Ambronay";"MANCUSO";"Vincent";"M";1960-07-02;74;"Ancien cadre";2026-03-15;2026-03-20
1;"Ain";;;1008;"Ambutrix";"DELOFFRE";"Dominique";"M";1962-10-03;37;"Cadre administratif et commercial d'entreprise";2026-03-15;2026-03-30
1;"Ain";;;1009;"Andert-Et-Condon";"GUILLERMIN";"Patrick";"M";1965-07-20;22;"Commerçant et assimilé";2026-03-15;2026-03-20
1;"Ain";;;1010;"Anglefort";"PLE";"Henri";"M";1971-06-03;48;"Contremaître, agent de maîtrise";2026-03-15;2026-03-20
1;"Ain";;;1011;"Apremont";"LEVRAT";"Marielle";"F";1969-01-10;54;"Employé administratif d'entreprise";2026-03-15;2026-03-20
1;"Ain";;;1012;"Aranc";"PALLET";"Monique";"F";1958-06-12;46;"Profession intermédiaire administrative et commerciale des entreprises";2026-03-15;2026-03-22
1;"Ain";;;1013;"Arandas";"MANOS";"Lionel";"M";1970-09-07;12;"Agriculteur sur moyenne exploitation";2026-03-15;2026-03-20
1;"Ain";;;1015;"Arboys En Bugey";"BORDONNAT";"Joël";"M";1981-08-26;63;"Ouvrier qualifié de type artisanal";2026-03-15;2026-03-30
1;"Ain";;;1016;"Arbigny";"GASSE";"Nadine";"F";1963-12-25;52;"Employé civil et agent de service de la fonction publique";2026-03-15;2026-03-20
1;"Ain";;;1019;"Armix";"VUILLOUD";"Véronique";"F";1964-08-28;86;"Personne diverse sans activité professionnelle de 60 ans et plus (sauf retraité)";2026-03-15;2026-03-21
1;"Ain";;;1022;"Artemare";"DESCHAMPS";"Roland";"M";1956-05-10;21;"Artisan";2026-03-15;2026-03-23
1;"Ain";;;1023;"Asnières-Sur-Saône";"SEGAIN RIGAUD";"Corinne";"F";1963-04-02;22;"Commerçant et assimilé";2026-03-15;2026-03-23
1;"Ain";;;1024;"Attignat";"MARTIN";"Walter";"M";1966-05-07;38;"Ingénieur et cadre technique d'entreprise";2026-03-15;2026-03-20
1;"Ain";;;1025;"Bâgé-Dommartin";"BERNIGAUD";"Christian";"M";1956-09-13;48;"Contremaître, agent de maîtrise";2026-03-15;2026-03-20
1;"Ain";;;1026;"Bâgé-Le-Châtel";"FRICOU";"Eric Olivier";"M";1961-04-25;37;"Cadre administratif et commercial d'entreprise";2026-03-15;2026-03-20
