"Code département";"Libellé département";"Code secteur";"Libellé secteur";"Inscrits";"Votants";"% Votants";"Abstentions";"% Abstentions";"Exprimés";"% Exprimés/inscrits";"% Exprimés/votants";"Blancs";"% Blancs/inscrits";"% Blancs/votants";"Nuls";"% Nuls/inscrits";"% Nuls/votants";"Numéro de panneau 1";"Nom candidat 1";"Prénom candidat 1";"Sexe candidat 1";"Nuance liste 1";"Libellé abrégé de liste 1";"Libellé de liste 1";"Voix 1";"% Voix/inscrits 1";"% Voix/exprimés 1";"Elu 1";"Sièges 1";"Numéro de panneau 2";"Nom candidat 2";"Prénom candidat 2";"Sexe candidat 2";"Nuance liste 2";"Libellé abrégé de liste 2";"Libellé de liste 2";"Voix 2";"% Voix/inscrits 2";"% Voix/exprimés 2";"Elu 2";"Sièges 2";"Numéro de panneau 3";"Nom candidat 3";"Prénom candidat 3";"Sexe candidat 3";"Nuance liste 3";"Libellé abrégé de liste 3";"Libellé de liste 3";"Voix 3";"% Voix/inscrits 3";"% Voix/exprimés 3";"Elu 3";"Sièges 3";"Numéro de panneau 4";"Nom candidat 4";"Prénom candidat 4";"Sexe candidat 4";"Nuance liste 4";"Libellé abrégé de liste 4";"Libellé de liste 4";"Voix 4";"% Voix/inscrits 4";"% Voix/exprimés 4";"Elu 4";"Sièges 4";"Numéro de panneau 5";"Nom candidat 5";"Prénom candidat 5";"Sexe candidat 5";"Nuance liste 5";"Libellé abrégé de liste 5";"Libellé de liste 5";"Voix 5";"% Voix/inscrits 5";"% Voix/exprimés 5";"Elu 5";"Sièges 5";"Numéro de panneau 6";"Nom candidat 6";"Prénom candidat 6";"Sexe candidat 6";"Nuance liste 6";"Libellé abrégé de liste 6";"Libellé de liste 6";"Voix 6";"% Voix/inscrits 6";"% Voix/exprimés 6";"Elu 6";"Sièges 6";"Numéro de panneau 7";"Nom candidat 7";"Prénom candidat 7";"Sexe candidat 7";"Nuance liste 7";"Libellé abrégé de liste 7";"Libellé de liste 7";"Voix 7";"% Voix/inscrits 7";"% Voix/exprimés 7";"Elu 7";"Sièges 7";"Numéro de panneau 8";"Nom candidat 8";"Prénom candidat 8";"Sexe candidat 8";"Nuance liste 8";"Libellé abrégé de liste 8";"Libellé de liste 8";"Voix 8";"% Voix/inscrits 8";"% Voix/exprimés 8";"Elu 8";"Sièges 8";"Numéro de panneau 9";"Nom candidat 9";"Prénom candidat 9";"Sexe candidat 9";"Nuance liste 9";"Libellé abrégé de liste 9";"Libellé de liste 9";"Voix 9";"% Voix/inscrits 9";"% Voix/exprimés 9";"Elu 9";"Sièges 9";"Numéro de panneau 10";"Nom candidat 10";"Prénom candidat 10";"Sexe candidat 10";"Nuance liste 10";"Libellé abrégé de liste 10";"Libellé de liste 10";"Voix 10";"% Voix/inscrits 10";"% Voix/exprimés 10";"Elu 10";"Sièges 10";"Numéro de panneau 11";"Nom candidat 11";"Prénom candidat 11";"Sexe candidat 11";"Nuance liste 11";"Libellé abrégé de liste 11";"Libellé de liste 11";"Voix 11";"% Voix/inscrits 11";"% Voix/exprimés 11";"Elu 11";"Sièges 11"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";50000;28931;"57,86%";21069;"42,14%";28478;"56,96%";"98,43%";267;"0,53%";"0,92%";186;"0,37%";"0,64%";1;;;;"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";5305;"10,61%";"18,63%";;0;2;;;;"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";12319;"24,64%";"43,26%";;0;3;;;;"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";6166;"12,33%";"21,65%";;0;4;;;;"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";3963;"7,93%";"13,92%";;0;5;;;;"LDVC";"Marseille pour tous";"Marseille pour tous";725;"1,45%";"2,55%";;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"13";"Bouches-du-Rhône";"13055SR02";"Marseille Secteur 2";37510;15097;"40,25%";22413;"59,75%";14796;"39,45%";"98,01%";162;"0,43%";"1,07%";139;"0,37%";"0,92%";1;;;;"LEXG";"LUTTE OUVRIERE";"LUTTE OUVRIERE - LE CAMPS DES TRAVAILLEURS";185;"0,49%";"1,25%";;0;2;;;;"LRN";"MARSEILLE EN ORDRE";"MARSEILLE EN ORDRE 2EME ET 3EME";2720;"7,25%";"18,38%";;0;3;;;;"LFI";"Marseille fière et populaire avec Sébastien Delogu";"Marseille fière et populaire avec Sébastien Delogu, 2e et 3e arrondissement";4088;"10,90%";"27,63%";;0;4;;;;"LEXG";"NPA Révolutionnaires";"NPA Révolutionnaires - Marseille, ouvrière et révolutionnaire";254;"0,68%";"1,72%";;0;5;;;;"LUG";"Pour Marseille";"Pour Marseille, 2e et 3e arrondissements, la gauche, les écologistes et les citoyens rassemblés";5852;"15,60%";"39,55%";;0;6;;;;"LDVG";"Marseille citoyenne";"Marseille citoyenne";146;"0,39%";"0,99%";;0;7;;;;"LDVC";"MARSEILLE POUR TOUS";"MARSEILLE POUR TOUS";561;"1,50%";"3,79%";;0;8;;;;"LDVD";"Marseille je t'aime 2e et 3e (2ème secteur)";"Marseille je t'aime 2e et 3e (2ème secteur) avec Solange Biaggi";990;"2,64%";"6,69%";;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"13";"Bouches-du-Rhône";"13055SR03";"Marseille Secteur 3";61704;35538;"57,59%";26166;"42,41%";34924;"56,60%";"98,27%";337;"0,55%";"0,95%";277;"0,45%";"0,78%";1;;;;"LFI";"Marseille fière et populaire avec Sébastien Delogu";"Marseille fière et populaire avec Sébastien Delogu, 4e et 5e arrondissements";5813;"9,42%";"16,64%";;0;2;;;;"LRN";"MARSEILLE EN ORDRE";"MARSEILLE EN ORDRE 4ÈME & 5ÈME";7049;"11,42%";"20,18%";;0;3;;;;"LUG";"4 ET 5 LA GAUCHE RASSEMBLES";"POUR MARSEILLE, 4E ET 5E, LA GAUCHE, LES ECOLOGISTES ET LES CITOYENS RASSEMBLES";13597;"22,04%";"38,93%";;0;4;;;;"LDVD";"Marseille je t'aime 4/5";"Marseille je t'aime 4/5 avec Bruno GILLES";5901;"9,56%";"16,90%";;0;5;;;;"LEXG";"REPRENDRE MARSEILLE";"REPRENDRE MARSEILLE AUX RICHES";2564;"4,16%";"7,34%";;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"13";"Bouches-du-Rhône";"13055SR04";"Marseille Secteur 4";89776;53491;"59,58%";36285;"40,42%";52540;"58,52%";"98,22%";530;"0,59%";"0,99%";421;"0,47%";"0,79%";1;;;;"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU, 6E ET 8E ARRONDISSEMENTS";5071;"5,65%";"9,65%";;0;2;;;;"LDVD";"MARSEILLE POUR TOUS";"MARSEILLE POUR TOUS";546;"0,61%";"1,04%";;0;3;;;;"LUG";"Pour Marseille";"Pour Marseille, 6e et 8e arrondissements, la gauche, les écologistes et les citoyens rassemblés";19234;"21,42%";"36,61%";;0;4;;;;"LDVD";"je t'aime 6e et 8e";"Marseille je t'aime 6e et 8e avec Catherine Pila";9261;"10,32%";"17,63%";;0;5;;;;"LUDR";"MARSEILLE EN ORDRE 6ème et 8ème";"MARSEILLE EN ORDRE 6ème et 8ème";16909;"18,83%";"32,18%";;0;6;;;;"LECO";"Marseille Ecologie";"Marseille Ecologie";1519;"1,69%";"2,89%";;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"13";"Bouches-du-Rhône";"13055SR05";"Marseille Secteur 5";87809;46154;"52,56%";41655;"47,44%";45076;"51,33%";"97,66%";593;"0,68%";"1,28%";485;"0,55%";"1,05%";1;;;;"LRN";"EN ORDRE 9ème & 10ème";"MARSEILLE EN ORDRE 9ème & 10ème";20229;"23,04%";"44,88%";;0;2;;;;"LDVD";"MARSEILLE JE T'AIME 9-10";"MARSEILLE JE T'AIME 9-10 AVEC LAURE-AGNES CARADEC";7423;"8,45%";"16,47%";;0;3;;;;"LDVD";"MARSEILLE POUR TOUS";"MARSEILLE POUR TOUS";799;"0,91%";"1,77%";;0;4;;;;"LUG";"POUR MARSEILLE, 9E ET 10E";"POUR MARSEILLE, 9E ET 10E ARRONDISSEMENTS, LA GAUCHE, LES ÉCOLOGISTES ET LES CITOYENS RASSEMBLÉS";12970;"14,77%";"28,77%";;0;5;;;;"LFI";"MARSEILLE FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 9E ET 10E ARRONDISSEMENT";3655;"4,16%";"8,11%";;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"13";"Bouches-du-Rhône";"13055SR06";"Marseille Secteur 6";85930;47614;"55,41%";38316;"44,59%";46565;"54,19%";"97,80%";569;"0,66%";"1,20%";480;"0,56%";"1,01%";1;;;;"LUG";"POUR MARSEILLE";"POUR MARSEILLE, 11e ET12e ARRONDISSEMENTS, la gauche,les ecologistes et les citoyens rassemblés";12422;"14,46%";"26,68%";;0;2;;;;"LRN";"Marseille en ordre";"MARSEILLE EN ORDRE 11ème & 12ème";20403;"23,74%";"43,82%";;0;3;;;;"LFI";"POPULAIRE ET FIERE";"MARSEILLE FI7RE ET POPULAIRE AVEC SEBASTIEN DELOGU 11e ET 12e ARRONDISSEMENTS";2809;"3,27%";"6,03%";;0;4;;;;"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 11-12 AVEC SYLVAIN SOUVESTRE";10931;"12,72%";"23,47%";;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"13";"Bouches-du-Rhône";"13055SR07";"Marseille Secteur 7";91234;40663;"44,57%";50571;"55,43%";39668;"43,48%";"97,55%";492;"0,54%";"1,21%";503;"0,55%";"1,24%";1;;;;"LDVC";"POUR TOUS";"MARSEILLE POUR TOUS";2232;"2,45%";"5,63%";;0;2;;;;"LDVD";"MARSEILLE JE T'AIME13 ET 14";"MARSEILLE JE T'AIME 13 ET 14 AVEC MARION BAREILLE";4816;"5,28%";"12,14%";;0;3;;;;"LEXG";"LUTTE OUVRIERE";"LUTTE OUVRIERE - LE CAMP DES TRAVAILLEURS";399;"0,44%";"1,01%";;0;4;;;;"LFI";"MARSEILLE FIÈRE";"MARSEILLE FIÈRE ET POPULAIRE AVEC SEBASTIEN DELOGU? 13E ET 14E ARRONDISSEMENTS";5197;"5,70%";"13,10%";;0;5;;;;"LRN";"MARSEILLE EN ORDRE";"MARSEILLE EN ORDRE 13EME & 14EME";15783;"17,30%";"39,79%";;0;6;;;;"LUG";"POUR MARSEILLE, 13E ET 14E";"POUR MARSEILLE, 13E ET 14E ARRONDISSEMENTS, LA GAUCHE, LES ECOLOGISTES ET LES CITOYENS RASSEMBLÉS";10483;"11,49%";"26,43%";;0;7;;;;"LDVG";"AMBITION CITOYENNE";"AMBITION CITOYENNE";758;"0,83%";"1,91%";;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"13";"Bouches-du-Rhône";"13055SR08";"Marseille Secteur 8";51436;19841;"38,57%";31595;"61,43%";19304;"37,53%";"97,29%";263;"0,51%";"1,33%";274;"0,53%";"1,38%";1;;;;"LUG";"15 ET 16 LA GAUCHE RASSEMBLES";"POUR MARSEILLE 15E ET 16E ARRONDISSEMENTS, LA GAUCHE, LES ECOLOGISTES ET LES CITOYENS RASSEMBLES";7135;"13,87%";"36,96%";;0;2;;;;"LDVD";"MARSEILLE JE T'AIME 15/16";"MARSEILLE JE T'AIME 15/16 AVEC GERARD BLANC";1015;"1,97%";"5,26%";;0;3;;;;"LEXG";"Lutte ouvrière";"Lutte ouvrière - le camp des travailleurs";396;"0,77%";"2,05%";;0;4;;;;"LRN";"EN ORDRE 15EME &16EME";"MARSEILLE EN ORDRE 15EME& 16EME";5641;"10,97%";"29,22%";;0;5;;;;"LFI";"MARSEILLE FIÈRE";"MARSEILLE FIÈRE ET POPULAIRE AVEC SÉBASTIEN DELOGU, 15E ET 16E ARRONDISSEMENTS";4595;"8,93%";"23,80%";;0;6;;;;"LDVC";"MARSEILLE POUR TOUS";"MARSEILLE POUR TOUS";522;"1,01%";"2,70%";;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"69";"Rhône";"69123SR01";"Lyon 1er secteur";19959;13807;"69,18%";6152;"30,82%";13593;"68,10%";"98,45%";130;"0,65%";"0,94%";84;"0,42%";"0,61%";1;;;;"LEXG";"Lutte ouvrière - Le camp des travailleurs";"Lutte ouvrière - Le camp des travailleurs";176;"0,88%";"1,29%";;0;2;;;;"LUG";"Pour vivre Lyon, l'union de la gauche et des écologistes avec Yasmine Bouâgga";"Pour vivre Lyon, l'union de la gauche et des écologistes avec Yasmine Bouâgga";6744;"33,79%";"49,61%";;0;3;;;;"LUXD";"Retrouver Lyon 1";"Retrouver Lyon 1";543;"2,72%";"3,99%";;0;4;;;;"LDVC";"Coeur Lyonnais";"Coeur Lyonnais";3364;"16,85%";"24,75%";;0;5;;;;"LDVG";"Lyon 1er avec vous !";"Lyon 1er avec vous !";788;"3,95%";"5,80%";;0;6;;;;"LFI";"Faire Mieux Pour Lyon 1er - La France Insoumise";"Faire Mieux Pour Lyon 1er - La France Insoumise";1978;"9,91%";"14,55%";;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"69";"Rhône";"69123SR02";"Lyon 2eme secteur";21395;14763;"69,00%";6632;"31,00%";14515;"67,84%";"98,32%";140;"0,65%";"0,95%";108;"0,50%";"0,73%";1;;;;"LDVD";"Coeur lyonnais";"Coeur lyonnais";7196;"33,63%";"49,58%";;0;2;;;;"LFI";"Faire mieux pour Lyon 2eme - La France Insoumise";"Faire mieux pour Lyon 2eme - La France Insoumise";1349;"6,31%";"9,29%";;0;3;;;;"LUG";"Pour Vivre Lyon 2e L'Union de la Gauche et des Ecologistes avec Valentin Lungenstrass";"Pour Vivre Lyon 2e L'Union de la Gauche et des Ecologistes avec Valentin Lungenstrass";4623;"21,61%";"31,85%";;0;4;;;;"LEXD";"Spartacus - France alliance citoyenne et souveraine";"Spartacus - France alliance citoyenne et souveraine";121;"0,57%";"0,83%";;0;5;;;;"LUDR";"RETROUVER LYON 2";"RETROUVER LYON 2";1226;"5,73%";"8,45%";;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
