"NOMPSN";"PREPSN";"DATNAIPSN";"SEXPSN";"CODPRO";"EFFECTIF_LEGAL";"CODDPT";"CODCOM";"CODSECT";"CODE_NUANCE_DE_LISTE";"CODE_PERSONNALITE";"TOUR_ELECTION"
"RUDIGOZ";"Thomas";"1971-01-11";"M";"31";20;"69";"69123";"69123SR05";"LDVC";;"élu T1"
"MARANO";"Gabrielle";"1998-06-18";"F";"52";20;"69";"69123";"69123SR05";"LDVC";;"élu T1"
"AURIA";"Frédéric";"1971-01-08";"M";"34";20;"69";"69123";"69123SR05";"LDVC";;"élu T1"
"HAZENE GUILLERMIN";"Dabia";"1964-06-19";"F";"31";20;"69";"69123";"69123SR05";"LDVC";;"élu T1"
"CIAMPI";"Lucas";"2003-09-25";"M";"84";20;"69";"69123";"69123SR05";"LDVC";;"élu T1"
"FAURIE-GAUTHIER";"Céline";"1967-10-08";"F";"33";20;"69";"69123";"69123SR05";"LDVC";;"élu T1"
"THIÉBAUT";"Damien";"1972-07-11";"M";"33";20;"69";"69123";"69123SR05";"LDVC";;"élu T1"
"DUARTE";"Marie";"1976-05-28";"F";"33";20;"69";"69123";"69123SR05";"LDVC";;"élu T1"
"DUFOUR";"Jean-Pierre";"1950-11-24";"M";"74";20;"69";"69123";"69123SR05";"LDVC";;"élu T1"
"VIRASSAMY";"Virginie";"1969-05-20";"F";"37";20;"69";"69123";"69123SR05";"LDVC";;"élu T1"
"CABUT";"Bruno";"1959-08-31";"M";"72";20;"69";"69123";"69123SR05";"LDVC";;"élu T1"
"BELDJILALI";"Anna";"2006-12-02";"F";"84";20;"69";"69123";"69123SR05";"LDVC";;"élu T1"
"DORÉ";"Guillaume";"1964-07-31";"M";"37";20;"69";"69123";"69123SR05";"LDVC";;"élu T1"
"COURTIER";"Marie-Jeanne";"1949-08-18";"F";"74";20;"69";"69123";"69123SR05";"LDVC";;"élu T1"
"VIDAL";"Fabrice";"1967-01-16";"M";"34";20;"69";"69123";"69123SR05";"LDVC";;"élu T1"
"GEORGEL";"Nadine";"1977-05-21";"F";"34";20;"69";"69123";"69123SR05";"LUG";;"élu T1"
"AÏT YAHIA";"Mohamed";"1970-01-19";"M";"33";20;"69";"69123";"69123SR05";"LUG";;"élu T1"
"FRERY";"Marie-Noëlle";"1959-11-17";"F";"31";20;"69";"69123";"69123SR05";"LUG";;"élu T1"
"VITAU";"Jean-Claude";"1951-05-12";"M";"74";20;"69";"69123";"69123SR05";"LRN";;"élu T1"
"OUATIYA";"Florent";"1965-06-24";"M";"34";20;"69";"69123";"69123SR05";"LFI";;"élu T1"
"SOULIER";"Samuel";"1996-08-06";"M";"46";22;"69";"69123";"69123SR06";"LDVD";;"élu T1"
"RAMET";"Isabelle";"1979-03-12";"F";"31";22;"69";"69123";"69123SR06";"LDVD";;"élu T1"
"BILLARD";"Romain";"1990-05-01";"M";"37";22;"69";"69123";"69123SR06";"LDVD";;"élu T1"
"BLACHE-MERIEUX";"Christel";"1966-03-11";"F";"85";22;"69";"69123";"69123SR06";"LDVD";;"élu T1"
"TERMOZ-MAZAN";"Christian";"1956-01-10";"M";"74";22;"69";"69123";"69123SR06";"LDVD";;"élu T1"
"AGNESE";"Marie-Laure";"1963-04-18";"F";"45";22;"69";"69123";"69123SR06";"LDVD";;"élu T1"
"BOUZARD";"Olivier";"1977-03-14";"M";"55";22;"69";"69123";"69123SR06";"LDVD";;"élu T1"
"CABRERA";"Analia";"1981-05-31";"F";"85";22;"69";"69123";"69123SR06";"LDVD";;"élu T1"
"NIEPCERON";"Jean-Arnaud";"1997-04-22";"M";"22";22;"69";"69123";"69123SR06";"LDVD";;"élu T1"
"AXIOTIS";"Stella";"1953-03-27";"F";"74";22;"69";"69123";"69123SR06";"LDVD";;"élu T1"
"AVAKIAN";"Gérald";"1971-10-24";"M";"22";22;"69";"69123";"69123SR06";"LDVD";;"élu T1"
"BURTIN";"Isabelle";"1972-07-17";"F";"22";22;"69";"69123";"69123SR06";"LDVD";;"élu T1"
"GOUY-PERRET";"Damien";"1971-03-06";"M";"33";22;"69";"69123";"69123SR06";"LDVD";;"élu T1"
"FOURNEYRON";"Virginie";"1969-12-08";"F";"85";22;"69";"69123";"69123SR06";"LDVD";;"élu T1"
"STUDER";"Jacques";"1960-08-17";"M";"35";22;"69";"69123";"69123SR06";"LDVD";;"élu T1"
"SALEZ";"Clélia";"2005-12-09";"F";"84";22;"69";"69123";"69123SR06";"LDVD";;"élu T1"
"DUVERNOIS";"Jean-Michel";"1967-10-03";"M";"37";22;"69";"69123";"69123SR06";"LDVD";;"élu T1"
"DELLI";"Houria";"1961-10-29";"F";"33";22;"69";"69123";"69123SR06";"LDVD";;"élu T1"
"CADORET";"Rémy";"1979-09-17";"M";"38";22;"69";"69123";"69123SR06";"LUG";;"élu T1"
"LACROIX";"Céline";"1979-03-13";"F";"47";22;"69";"69123";"69123SR06";"LUG";;"élu T1"
"REVEL";"Ivan";"1976-01-14";"M";"54";22;"69";"69123";"69123SR06";"LUG";;"élu T1"
"JAOUEN";"Etienne";"2003-01-29";"M";"31";22;"69";"69123";"69123SR06";"LUDR";;"élu T1"
"DATI";"Rachida";"1965-11-27";"F";"33";11;"75";"75056";"75056SR07";"LUD";;"élu T1"
"BERNARD";"René-François";"1950-11-26";"M";"33";11;"75";"75056";"75056SR07";"LUD";;"élu T1"
"DAUVERGNE";"Emmanuelle";"1971-10-03";"F";"33";11;"75";"75056";"75056SR07";"LUD";;"élu T1"
"POISSON";"Christophe";"1974-09-24";"M";"37";11;"75";"75056";"75056SR07";"LUD";;"élu T1"
"GAUDE";"Josiane";"1947-08-12";"F";"22";11;"75";"75056";"75056SR07";"LUD";;"élu T1"
"LE QUERE";"Olivier";"1965-03-15";"M";"74";11;"75";"75056";"75056SR07";"LUD";;"élu T1"
"CHEVREUL";"Marguerite";"1955-04-06";"F";"74";11;"75";"75056";"75056SR07";"LUD";;"élu T1"
"DE BRAQUILANGES";"Philippe";"1952-02-20";"M";"74";11;"75";"75056";"75056SR07";"LUD";;"élu T1"
"LEVY";"Valérie";"1963-08-30";"F";"31";11;"75";"75056";"75056SR07";"LUD";;"élu T1"
"LAROCK";"Marc";"1961-06-12";"M";"22";11;"75";"75056";"75056SR07";"LUD";;"élu T1"
"ROUILLON";"Anne-Flore";"2000-11-22";"F";"33";11;"75";"75056";"75056SR07";"LUG";;"élu T1"
"COUMET";"Jérôme";"1967-01-22";"M";"33";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"MARCHAND";"Marie-Pierre";"1961-12-15";"F";"31";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"ROUFFIO";"Tom";"1988-05-14";"M";"31";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"KOUASSI";"Johanne";"1982-10-02";"F";"38";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"GUILLOU";"Antoine";"1989-02-15";"M";"38";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"BIKOULOULOU";"Annah";"1998-01-25";"F";"33";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"AQUA";"Jean-Noël";"1974-01-01";"M";"34";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"SABATIER";"Juliette";"1977-08-25";"F";"35";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"BASSIOUNI";"Aïmane";"1995-12-06";"M";"45";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"DOUCOURE";"Seindé";"1998-05-02";"F";"37";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"SALARIS";"Zoé";"2006-12-20";"M";"84";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"AÏCHOUN BAPTISTE";"Bérangère";"1993-06-13";"F";"42";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"TRAN";"Daniel";"1991-09-17";"M";"35";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"DENIZET";"Sylve";"1978-04-17";"F";"31";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"TOKA";"Serge";"1979-11-15";"M";"37";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"KARAOUN GOUEZOU";"Rym";"1977-12-16";"F";"21";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"FERRIER";"Stéphane";"1973-01-04";"M";"38";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"LACOMBE";"Morgane";"1982-05-01";"F";"42";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"COURBAN";"Alexandre";"1971-04-26";"M";"35";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"GUESSOUS";"Ghizlaine";"1979-07-07";"F";"38";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"HENOCQ";"Christophe";"1955-01-14";"M";"34";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"RAYMOND-ROSSI";"Marie-José";"1960-06-06";"F";"75";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"GAUTIER";"Florent";"1997-06-19";"M";"33";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"GAUTHERON";"Agathe";"1999-08-13";"F";"33";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"LIM";"Jungmyung";"1986-11-18";"M";"52";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"DECLERCQ";"Coralie";"1973-09-04";"F";"37";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"LE BIHAN";"Erwan";"1995-03-26";"M";"45";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"ZAGHDOUD";"Rajah";"1977-09-23";"F";"38";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"GROSSNICKEL";"Mathis";"2003-07-12";"M";"84";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"ATALLAH";"Marie";"1956-09-08";"F";"77";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
"IDRISS";"Kais";"1961-09-14";"M";"77";43;"75";"75056";"75056SR13";"LUG";;"élu T1"
