"Code département";"Libellé département";"Code commune";"Libellé commune";"Inscrits";"Votants";"% Votants";"Abstentions";"% Abstentions";"Exprimés";"% Exprimés/inscrits";"% Exprimés/votants";"Blancs";"% Blancs/inscrits";"% Blancs/votants";"Nuls";"% Nuls/inscrits";"% Nuls/votants";"Numéro de panneau 1";"Nom candidat 1";"Prénom candidat 1";"Sexe candidat 1";"Nuance liste 1";"Libellé abrégé de liste 1";"Libellé de liste 1";"Voix 1";"% Voix/inscrits 1";"% Voix/exprimés 1";"Elu 1";"Sièges au CM 1";"Sièges au CC 1";"Numéro de panneau 2";"Nom candidat 2";"Prénom candidat 2";"Sexe candidat 2";"Nuance liste 2";"Libellé abrégé de liste 2";"Libellé de liste 2";"Voix 2";"% Voix/inscrits 2";"% Voix/exprimés 2";"Elu 2";"Sièges au CM 2";"Sièges au CC 2";"Numéro de panneau 3";"Nom candidat 3";"Prénom candidat 3";"Sexe candidat 3";"Nuance liste 3";"Libellé abrégé de liste 3";"Libellé de liste 3";"Voix 3";"% Voix/inscrits 3";"% Voix/exprimés 3";"Elu 3";"Sièges au CM 3";"Sièges au CC 3";"Numéro de panneau 4";"Nom candidat 4";"Prénom candidat 4";"Sexe candidat 4";"Nuance liste 4";"Libellé abrégé de liste 4";"Libellé de liste 4";"Voix 4";"% Voix/inscrits 4";"% Voix/exprimés 4";"Elu 4";"Sièges au CM 4";"Sièges au CC 4";"Numéro de panneau 5";"Nom candidat 5";"Prénom candidat 5";"Sexe candidat 5";"Nuance liste 5";"Libellé abrégé de liste 5";"Libellé de liste 5";"Voix 5";"% Voix/inscrits 5";"% Voix/exprimés 5";"Elu 5";"Sièges au CM 5";"Sièges au CC 5"
"01";"Ain";"01160";"Ferney-Voltaire";"4486";"1958";"43,65%";"2528";"56,35%";"1897";"42,29%";"96,88%";"34";"0,76%";"1,74%";"27";"0,60%";"1,38%";"1";"PHILIPPS";"Pierre-Marie";"M";"LDVC";"Une Energie Nouvelle Pour Ferney";"Une Energie Nouvelle Pour Ferney";"1244";"27,73%";"65,58%";"";"28";"5";"3";"KASTLER";"Jean-Loup";"M";"LECO";"FERNEY EN GRAND";"FERNEY EN GRAND";"653";"14,56%";"34,42%";"";"5";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01";"Ain";"01194";"Jassans-Riottier";"4387";"2469";"56,28%";"1918";"43,72%";"2406";"54,84%";"97,45%";"48";"1,09%";"1,94%";"15";"0,34%";"0,61%";"1";"COLOMBIER";"Jean-François";"M";"LDVD";"UN NOUVEL ELAN POUR JASSANS-RIOTTIER";"UN NOUVEL ELAN POUR JASSANS-RIOTTIER";"825";"18,81%";"34,29%";"";"5";"1";"2";"REVERCHON";"Jean-Pierre";"M";"LDIV";"JASSANS-RIOTTIER AGIR ET RÉALISER";"JASSANS-RIOTTIER AGIR ET RÉALISER";"445";"10,14%";"18,50%";"";"2";"0";"4";"REIX";"Marie-Laure";"F";"LDIV";"JASSANS-RIOTTIER VILLE D'AVENIR";"JASSANS-RIOTTIER VILLE D'AVENIR";"1136";"25,89%";"47,22%";"";"22";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01";"Ain";"01249";"Miribel";"7293";"3920";"53,75%";"3373";"46,25%";"3852";"52,82%";"98,27%";"41";"0,56%";"1,05%";"27";"0,37%";"0,69%";"1";"DESCOURS";"Nathalie";"F";"LDVC";"CAP SUR DEMAIN - MIRIBEL - LE MAS RILLIER - LES ECHETS";"CAP SUR DEMAIN - MIRIBEL - LE MAS RILLIER - LES ECHETS";"379";"5,20%";"9,84%";"";"1";"0";"2";"BOYET";"Jérôme";"M";"LDIV";"MIRIBEL C'EST VOUS";"MIRIBEL C'EST VOUS";"1466";"20,10%";"38,06%";"";"6";"3";"3";"VIRICEL";"Sylvie";"F";"LDIV";"MIRIBEL AU COEUR";"MIRIBEL AU COEUR";"1535";"21,05%";"39,85%";"";"24";"10";"4";"NAZARET";"Tanguy";"M";"LDVD";"Miribel, responsable et ambitieuse";"Miribel, responsable et ambitieuse";"472";"6,47%";"12,25%";"";"2";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"01";"Ain";"01283";"Oyonnax";"12283";"6777";"55,17%";"5506";"44,83%";"6664";"54,25%";"98,33%";"51";"0,42%";"0,75%";"62";"0,50%";"0,91%";"1";"HARMEL";"Laurent";"M";"LDVD";"AVANCONS ENSEMBLE POUR OYONNAX";"AVANCONS ENSEMBLE POUR OYONNAX";"3378";"27,50%";"50,69%";"";"27";"18";"2";"MONNIER";"Loïc";"M";"LDVG";"OYONNAX EN COMMUN";"OYONNAX EN COMMUN";"516";"4,20%";"7,74%";"";"1";"1";"4";"MARTINEZ";"Julien";"M";"LDVD";"TOUS UNIS POUR OYONNAX";"TOUS UNIS POUR OYONNAX";"2770";"22,55%";"41,57%";"";"7";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01";"Ain";"01322";"Reyrieux";"3993";"2310";"57,85%";"1683";"42,15%";"2275";"56,97%";"98,48%";"19";"0,48%";"0,82%";"16";"0,40%";"0,69%";"1";"BAUDOUX";"Cécile";"F";"LDVC";"REYRIEUX DEMAIN";"REYRIEUX DEMAIN";"1250";"31,30%";"54,95%";"";"23";"5";"2";"BONTEMPS-HESDIN";"Carole";"F";"LDIV";"POURSUIVONS L'ACTION !";"POURSUIVONS L'ACTION !";"805";"20,16%";"35,38%";"";"5";"1";"3";"BABAD";"Marcel";"M";"LDVC";"REUSSIR REYRIEUX";"REUSSIR REYRIEUX";"220";"5,51%";"9,67%";"";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01";"Ain";"01378";"Saint-Maurice-de-Gourdans";"2354";"1513";"64,27%";"841";"35,73%";"1492";"63,38%";"98,61%";"15";"0,64%";"0,99%";"6";"0,25%";"0,40%";"1";"CHAZEAUBENIT";"Rémi";"M";"";"VILLAGE VIVANT";"VILLAGE VIVANT";"499";"21,20%";"33,45%";"";"4";"0";"2";"BRAU";"Didier";"M";"";"COEUR ET ACTION POUR SAINT MAURICE DE GOURDANS";"COEUR ET ACTION POUR SAINT MAURICE DE GOURDANS";"367";"15,59%";"24,60%";"";"2";"0";"3";"VENÇON";"Yves";"M";"";"UN NOUVEAU SOUFFLE POUR SAINT MAURICE";"UN NOUVEAU SOUFFLE POUR SAINT MAURICE";"626";"26,59%";"41,96%";"";"17";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01";"Ain";"01427";"Trévoux";"4336";"2845";"65,61%";"1491";"34,39%";"2796";"64,48%";"98,28%";"29";"0,67%";"1,02%";"20";"0,46%";"0,70%";"1";"DUFFIT MÉNARD";"Nathanaël";"M";"LDIV";"Trévoux avec vous !";"Trévoux avec vous !";"1492";"34,41%";"53,36%";"";"23";"6";"2";"PÉCHOUX";"Marc";"M";"LDVD";"Trévoux, notre fierté";"Trévoux, notre fierté";"1304";"30,07%";"46,64%";"";"6";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01";"Ain";"01450";"Villieu-Loyes-Mollon";"3112";"1931";"62,05%";"1181";"37,95%";"1896";"60,93%";"98,19%";"24";"0,77%";"1,24%";"11";"0,35%";"0,57%";"1";"BEAUFORT";"Eric";"M";"LDIV";"L'EXPÉRIENCE POUR DEMAIN";"L'EXPÉRIENCE POUR DEMAIN";"523";"16,81%";"27,58%";"";"3";"1";"2";"BERTRON";"Philippe";"M";"LDIV";"VLM AUTREMENT";"VLM AUTREMENT";"977";"31,39%";"51,53%";"";"21";"2";"3";"BRUGHEAT";"Grégory";"M";"LDIV";"ÉLAN CITOYEN";"ÉLAN CITOYEN";"396";"12,72%";"20,89%";"";"3";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02";"Aisne";"02011";"Ambleny";"939";"589";"62,73%";"350";"37,27%";"585";"62,30%";"99,32%";"3";"0,32%";"0,51%";"1";"0,11%";"0,17%";"1";"BRIEN";"Bernard";"M";"";"AMBLENY, CAP SUR L'AVENIR";"AMBLENY, CAP SUR L'AVENIR";"204";"21,73%";"34,87%";"";"2";"0";"2";"TOUZET";"Aurélie";"F";"";"AU COEUR D'AMBLENY";"AU COEUR D'AMBLENY";"68";"7,24%";"11,62%";"";"1";"0";"3";"LEFEVRE";"Philippe";"M";"";"OSEZ AVEC NOUS";"OSEZ AVEC NOUS";"313";"33,33%";"53,50%";"";"12";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02";"Aisne";"02063";"Bellenglise";"301";"246";"81,73%";"55";"18,27%";"238";"79,07%";"96,75%";"2";"0,66%";"0,81%";"6";"1,99%";"2,44%";"1";"DUVAL";"Denis";"M";"";"rassemblés pour agir";"Rassemblés pour agir";"117";"38,87%";"49,16%";"";"2";"";"4";"BEAUSIR";"Cyril";"M";"";"Entraide et Renouveau";"Entraide et Renouveau";"121";"40,20%";"50,84%";"";"8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
