"NOMPSN";"PREPSN";"DATNAIPSN";"SEXPSN";"CODPRO";"CODE_NUA";"EFFECTIF_LEGAL";"CODDPT";"CODCOM";"CODSECT";"SORTANT";"CODE_NUANCE_DE_LISTE";"CODE_PERSONNALITE";"TOUR_ELECTION"
"CAMARD";"Sophie";"1972-12-09";"F";"37";"DVG";25;"13";"13055";"13055SR01";"OUI";"LUG";;"élu T2"
"LHARDIT";"Laurent";"1963-04-20";"M";"31";"SOC";25;"13";"13055";"13055SR01";"OUI";"LUG";"DEP";"élu T2"
"GARINO";"Audrey";"1984-05-04";"F";"37";"COM";25;"13";"13055";"13055SR01";"OUI";"LUG";;"élu T2"
"SORET";"Julien";"1984-01-23";"M";"34";"GEN";25;"13";"13055";"13055SR01";"OUI";"LUG";;"élu T2"
"EDOU";"Capucine";"1975-08-03";"F";"37";"VEC";25;"13";"13055";"13055SR01";;"LUG";;"élu T2"
"AMICO";"Patrick";"1955-08-25";"M";"74";"DVG";25;"13";"13055";"13055SR01";"OUI";"LUG";;"élu T2"
"BÉCARD";"Leïla";"1972-03-04";"F";"43";"DVG";25;"13";"13055";"13055SR01";"OUI";"LUG";;"élu T2"
"BOUSSALEM";"Karim";"1986-06-11";"M";"22";"DVG";25;"13";"13055";"13055SR01";;"LUG";;"élu T2"
"ROLBERT";"Monique";"1961-07-05";"F";"34";"DVG";25;"13";"13055";"13055SR01";"OUI";"LUG";;"élu T2"
"PELLICANI";"Christian";"1958-02-19";"M";"74";"COM";25;"13";"13055";"13055SR01";"OUI";"LUG";;"élu T2"
"CHABANI";"Samia";"1971-06-24";"F";"46";"DVG";25;"13";"13055";"13055SR01";;"LUG";;"élu T2"
"CAHN";"Philippe";"1956-01-22";"M";"77";"DVG";25;"13";"13055";"13055SR01";"OUI";"LUG";;"élu T2"
"ROCHE";"Virginie";"1970-12-18";"F";"33";"DVG";25;"13";"13055";"13055SR01";"OUI";"LUG";;"élu T2"
"GUILLEDOUX";"Frédéric-Joël";"1965-08-06";"M";"35";"DVG";25;"13";"13055";"13055SR01";;"LUG";;"élu T2"
"MEZOUI";"Nawel";"2003-03-19";"F";"84";"VEC";25;"13";"13055";"13055SR01";;"LUG";;"élu T2"
"LECOUR";"Aurélien";"1983-06-27";"M";"21";"DVG";25;"13";"13055";"13055SR01";;"LUG";;"élu T2"
"MASSIP";"Romane";"2004-10-31";"F";"84";"COM";25;"13";"13055";"13055SR01";;"LUG";;"élu T2"
"BUGLIANI";"Guillaume";"2000-03-29";"M";"85";"SOC";25;"13";"13055";"13055SR01";;"LUG";;"élu T2"
"CANONICI";"Annelise";"1956-08-20";"F";"74";"COM";25;"13";"13055";"13055SR01";;"LUG";;"élu T2"
"PARODI";"Clémence";"1958-10-21";"F";"72";"RN";25;"13";"13055";"13055SR01";"OUI";"LRN";;"élu T2"
"ESCAVI";"Hubert";"1995-04-29";"M";"37";"RN";25;"13";"13055";"13055SR01";;"LRN";;"élu T2"
"LUCHEUX";"Marina";"2000-04-11";"F";"46";"RN";25;"13";"13055";"13055SR01";;"LRN";;"élu T2"
"BARLES";"Sébastien";"1973-08-27";"M";"31";"FI";25;"13";"13055";"13055SR01";"OUI";"LFI";;"élu T2"
"DEWEERDT";"Charlotte";"1982-01-30";"F";"37";"FI";25;"13";"13055";"13055SR01";;"LFI";;"élu T2"
"SIMMARANO";"Romain";"1988-10-23";"M";"33";"REN";25;"13";"13055";"13055SR01";;"LDVD";;"élu T2"
"KREHMEIER";"Anthony";"1986-10-04";"M";"85";"SOC";27;"13";"13055";"13055SR02";"OUI";"LUG";;"élu T2"
"SINSOILLIEZ";"Emilia";"1977-06-15";"F";"34";"DVG";27;"13";"13055";"13055SR02";"OUI";"LUG";;"élu T2"
"AZIBI";"Gérard";"1950-05-15";"M";"74";"DVG";27;"13";"13055";"13055SR02";"OUI";"LUG";;"élu T2"
