"Code département";"Libellé département";"Code secteur";"Libellé secteur";"Inscrits";"Votants";"% Votants";"Abstentions";"% Abstentions";"Exprimés";"% Exprimés/inscrits";"% Exprimés/votants";"Blancs";"% Blancs/inscrits";"% Blancs/votants";"Nuls";"% Nuls/inscrits";"% Nuls/votants";"Numéro de panneau 1";"Nom candidat 1";"Prénom candidat 1";"Sexe candidat 1";"Nuance liste 1";"Libellé abrégé de liste 1";"Libellé de liste 1";"Voix 1";"% Voix/inscrits 1";"% Voix/exprimés 1";"Elu 1";"Sièges 1";"Numéro de panneau 2";"Nom candidat 2";"Prénom candidat 2";"Sexe candidat 2";"Nuance liste 2";"Libellé abrégé de liste 2";"Libellé de liste 2";"Voix 2";"% Voix/inscrits 2";"% Voix/exprimés 2";"Elu 2";"Sièges 2";"Numéro de panneau 3";"Nom candidat 3";"Prénom candidat 3";"Sexe candidat 3";"Nuance liste 3";"Libellé abrégé de liste 3";"Libellé de liste 3";"Voix 3";"% Voix/inscrits 3";"% Voix/exprimés 3";"Elu 3";"Sièges 3";"Numéro de panneau 4";"Nom candidat 4";"Prénom candidat 4";"Sexe candidat 4";"Nuance liste 4";"Libellé abrégé de liste 4";"Libellé de liste 4";"Voix 4";"% Voix/inscrits 4";"% Voix/exprimés 4";"Elu 4";"Sièges 4"
"13";"Bouches-du-Rhône";"13055SR01";"Marseille Secteur 1";"50008";"30135";"60,26%";"19873";"39,74%";"29777";"59,54%";"98,81%";"210";"0,42%";"0,70%";"148";"0,30%";"0,49%";"1";"BARLES";"Sébastien";"M";"LFI";"FIERE ET POPULAIRE";"MARSEILLE FIERE ET POPULAIRE AVEC SEBASTIEN DELOGU 1e ET 7e ARRONDISSEMENTS";"5367";"10,73%";"18,02%";"";"2";"2";"CAMARD";"Sophie";"F";"LUG";"la gauche, les écologistes et les citoyens rassemblés";"Pour Marseille, le 1er et 7e arrondissement, la gauche, les écologistes et les citoyens rassemblés";"14129";"28,25%";"47,45%";"";"19";"3";"PARODI";"Clémence";"F";"LRN";"MARSEILLE EN ORDRE 1er & 7ème";"MARSEILLE EN ORDRE 1er & 7ème";"7557";"15,11%";"25,38%";"";"3";"4";"SIMMARANO";"Romain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 1/7 AVEC ROMAIN SIMMARANO";"2724";"5,45%";"9,15%";"";"1"
"13";"Bouches-du-Rhône";"13055SR02";"Marseille Secteur 2";"37515";"16344";"43,57%";"21171";"56,43%";"16075";"42,85%";"98,35%";"153";"0,41%";"0,94%";"116";"0,31%";"0,71%";"2";"BERMEJO";"Marie";"F";"LRN";"MARSEILLE EN ORDRE";"MARSEILLE EN ORDRE 2EME ET 3EME";"3366";"8,97%";"20,94%";"";"2";"3";"ABDALLAH SALIM";"Alladine";"M";"LFI";"Marseille fière et populaire avec Sébastien Delogu";"Marseille fière et populaire avec Sébastien Delogu, 2e et 3e arrondissement";"4710";"12,55%";"29,30%";"";"4";"5";"KREHMEIER";"Anthony";"M";"LUG";"Pour Marseille";"Pour Marseille, 2e et 3e arrondissements, la gauche, les écologistes et les citoyens rassemblés";"7999";"21,32%";"49,76%";"";"21";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Bouches-du-Rhône";"13055SR03";"Marseille Secteur 3";"61695";"37008";"59,99%";"24687";"40,01%";"36518";"59,19%";"98,68%";"256";"0,41%";"0,69%";"234";"0,38%";"0,63%";"1";"BIJAOUI";"Léa";"F";"LFI";"Marseille fière et populaire avec Sébastien Delogu";"Marseille fière et populaire avec Sébastien Delogu, 4e et 5e arrondissements";"7324";"11,87%";"20,06%";"";"3";"2";"BATTESTI";"Thomas";"M";"LRN";"MARSEILLE EN ORDRE";"MARSEILLE EN ORDRE 4ÈME & 5ÈME";"8751";"14,18%";"23,96%";"";"4";"3";"JAU";"Didier";"M";"LUG";"4 ET 5 LA GAUCHE RASSEMBLES";"POUR MARSEILLE, 4E ET 5E, LA GAUCHE, LES ECOLOGISTES ET LES CITOYENS RASSEMBLES";"16245";"26,33%";"44,48%";"";"24";"4";"GILLES";"Bruno";"M";"LDVD";"Marseille je t'aime 4/5";"Marseille je t'aime 4/5 avec Bruno GILLES";"4198";"6,80%";"11,50%";"";"2"
"13";"Bouches-du-Rhône";"13055SR04";"Marseille Secteur 4";"89772";"55480";"61,80%";"34292";"38,20%";"54636";"60,86%";"98,48%";"457";"0,51%";"0,82%";"387";"0,43%";"0,70%";"3";"FORTIN";"Olivia";"F";"LUG";"Pour Marseille";"Pour Marseille, 6e et 8e arrondissements, la gauche, les écologistes et les citoyens rassemblés";"28145";"31,35%";"51,51%";"";"32";"4";"PILA";"Catherine";"F";"LDVD";"je t'aime 6e et 8e";"Marseille je t'aime 6e et 8e avec Catherine Pila";"5477";"6,10%";"10,02%";"";"2";"5";"RIVOALLAN";"Jean-Baptiste";"M";"LUDR";"MARSEILLE EN ORDRE 6ème et 8ème";"MARSEILLE EN ORDRE 6ème et 8ème";"21014";"23,41%";"38,46%";"";"8";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Bouches-du-Rhône";"13055SR05";"Marseille Secteur 5";"87820";"49098";"55,91%";"38722";"44,09%";"48247";"54,94%";"98,27%";"441";"0,50%";"0,90%";"410";"0,47%";"0,84%";"1";"BEZ";"Eléonore";"F";"LRN";"EN ORDRE 9ème & 10ème";"MARSEILLE EN ORDRE 9ème & 10ème";"24323";"27,70%";"50,41%";"";"36";"2";"CARADEC";"Laure-Agnès";"F";"LDVD";"MARSEILLE JE T'AIME 9-10";"MARSEILLE JE T'AIME 9-10 AVEC LAURE-AGNES CARADEC";"4165";"4,74%";"8,63%";"";"2";"4";"HUGUET";"Pierre";"M";"LUG";"POUR MARSEILLE, 9E ET 10E";"POUR MARSEILLE, 9E ET 10E ARRONDISSEMENTS, LA GAUCHE, LES ÉCOLOGISTES ET LES CITOYENS RASSEMBLÉS";"19759";"22,50%";"40,95%";"";"9";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Bouches-du-Rhône";"13055SR06";"Marseille Secteur 6";"85937";"50486";"58,75%";"35451";"41,25%";"49521";"57,62%";"98,09%";"454";"0,53%";"0,90%";"511";"0,59%";"1,01%";"1";"OHANESSIAN";"Yannick";"M";"LUG";"POUR MARSEILLE";"POUR MARSEILLE, 11e ET12e ARRONDISSEMENTS, la gauche,les ecologistes et les citoyens rassemblés";"17874";"20,80%";"36,09%";"";"8";"2";"RIOULT";"Olivier";"M";"LRN";"Marseille en ordre";"MARSEILLE EN ORDRE 11ème & 12ème";"24558";"28,58%";"49,59%";"";"32";"4";"SOUVESTRE";"Sylvain";"M";"LDVD";"MARSEILLE JE T'AIME";"MARSEILLE JE T'AIME 11-12 AVEC SYLVAIN SOUVESTRE";"7089";"8,25%";"14,32%";"";"3";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Bouches-du-Rhône";"13055SR07";"Marseille Secteur 7";"91270";"44942";"49,24%";"46328";"50,76%";"44181";"48,41%";"98,31%";"427";"0,47%";"0,95%";"334";"0,37%";"0,74%";"2";"BAREILLE";"Marion";"F";"LDVD";"MARSEILLE JE T'AIME13 ET 14";"MARSEILLE JE T'AIME 13 ET 14 AVEC MARION BAREILLE";"2892";"3,17%";"6,55%";"";"1";"5";"D'ANGIO";"Sandrine";"F";"LRN";"MARSEILLE EN ORDRE";"MARSEILLE EN ORDRE 13EME & 14EME";"18804";"20,60%";"42,56%";"";"11";"6";"BIARD SANSONETTI";"Tina";"F";"LUG";"POUR MARSEILLE, 13E ET 14E";"POUR MARSEILLE, 13E ET 14E ARRONDISSEMENTS, LA GAUCHE, LES ECOLOGISTES ET LES CITOYENS RASSEMBLÉS";"22485";"24,64%";"50,89%";"";"41";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Bouches-du-Rhône";"13055SR08";"Marseille Secteur 8";"51452";"21753";"42,28%";"29699";"57,72%";"21248";"41,30%";"97,68%";"273";"0,53%";"1,25%";"232";"0,45%";"1,07%";"1";"GHALI";"Samia";"F";"LUG";"15 ET 16 LA GAUCHE RASSEMBLES";"POUR MARSEILLE 15E ET 16E ARRONDISSEMENTS, LA GAUCHE, LES ECOLOGISTES ET LES CITOYENS RASSEMBLES";"9790";"19,03%";"46,07%";"";"25";"4";"CHARPENTIER";"Thibaut";"M";"LRN";"EN ORDRE 15EME &16EME";"MARSEILLE EN ORDRE 15EME& 16EME";"6864";"13,34%";"32,30%";"";"5";"5";"BOINAHERI";"Rabyata";"F";"LFI";"MARSEILLE FIÈRE";"MARSEILLE FIÈRE ET POPULAIRE AVEC SÉBASTIEN DELOGU, 15E ET 16E ARRONDISSEMENTS";"4594";"8,93%";"21,62%";"";"3";"";"";"";"";"";"";"";"";"";"";"";""
"69";"Rhône";"69123SR01";"Lyon 1er secteur";"19965";"13939";"69,82%";"6026";"30,18%";"13680";"68,52%";"98,14%";"186";"0,93%";"1,33%";"73";"0,37%";"0,52%";"2";"BOUÂGGA";"Yasmine";"F";"LDVG";"Pour vivre Lyon, l'union de la gauche et des écologistes avec Yasmine Bouâgga";"Pour vivre Lyon, l'union de la gauche et des écologistes avec Yasmine Bouâgga";"9411";"47,14%";"68,79%";"";"10";"4";"CÉDAT";"Laure";"F";"LDVC";"Coeur Lyonnais";"Coeur Lyonnais";"4269";"21,38%";"31,21%";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"69";"Rhône";"69123SR02";"Lyon 2eme secteur";"21400";"15055";"70,35%";"6345";"29,65%";"14810";"69,21%";"98,37%";"160";"0,75%";"1,06%";"85";"0,40%";"0,56%";"1";"OLIVER";"Pierre";"M";"LDVD";"Coeur lyonnais";"Coeur lyonnais";"8857";"41,39%";"59,80%";"";"10";"3";"LUNGENSTRASS";"Valentin";"M";"LUG";"Pour Vivre Lyon 2e L'Union de la Gauche et des Ecologistes avec Valentin Lungenstrass";"Pour Vivre Lyon 2e L'Union de la Gauche et des Ecologistes avec Valentin Lungenstrass";"5953";"27,82%";"40,20%";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
