"Code département";"Libellé département";"Code commune";"Libellé commune";"Code BV";"Inscrits";"Votants";"% Votants";"Abstentions";"% Abstentions";"Exprimés";"% Exprimés/inscrits";"% Exprimés/votants";"Blancs";"% Blancs/inscrits";"% Blancs/votants";"Nuls";"% Nuls/inscrits";"% Nuls/votants";"Numéro de panneau 1";"Nom candidat 1";"Prénom candidat 1";"Sexe candidat 1";"Nuance liste 1";"Libellé abrégé de liste 1";"Libellé de liste 1";"Voix 1";"% Voix/inscrits 1";"% Voix/exprimés 1";"Elu 1";"Sièges au CM 1";"Sièges au CC 1";"Numéro de panneau 2";"Nom candidat 2";"Prénom candidat 2";"Sexe candidat 2";"Nuance liste 2";"Libellé abrégé de liste 2";"Libellé de liste 2";"Voix 2";"% Voix/inscrits 2";"% Voix/exprimés 2";"Elu 2";"Sièges au CM 2";"Sièges au CC 2";"Numéro de panneau 3";"Nom candidat 3";"Prénom candidat 3";"Sexe candidat 3";"Nuance liste 3";"Libellé abrégé de liste 3";"Libellé de liste 3";"Voix 3";"% Voix/inscrits 3";"% Voix/exprimés 3";"Elu 3";"Sièges au CM 3";"Sièges au CC 3";"Numéro de panneau 4";"Nom candidat 4";"Prénom candidat 4";"Sexe candidat 4";"Nuance liste 4";"Libellé abrégé de liste 4";"Libellé de liste 4";"Voix 4";"% Voix/inscrits 4";"% Voix/exprimés 4";"Elu 4";"Sièges au CM 4";"Sièges au CC 4";"Numéro de panneau 5";"Nom candidat 5";"Prénom candidat 5";"Sexe candidat 5";"Nuance liste 5";"Libellé abrégé de liste 5";"Libellé de liste 5";"Voix 5";"% Voix/inscrits 5";"% Voix/exprimés 5";"Elu 5";"Sièges au CM 5";"Sièges au CC 5"
"01";"Ain";"01160";"Ferney-Voltaire";"0001";"927";"394";"42,50%";"533";"57,50%";"380";"40,99%";"96,45%";"5";"0,54%";"1,27%";"9";"0,97%";"2,28%";"1";"PHILIPPS";"Pierre-Marie";"M";"LDVC";"Une Energie Nouvelle Pour Ferney";"Une Energie Nouvelle Pour Ferney";"257";"27,72%";"67,63%";"";"28";"5";"3";"KASTLER";"Jean-Loup";"M";"LECO";"FERNEY EN GRAND";"FERNEY EN GRAND";"123";"13,27%";"32,37%";"";"5";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01";"Ain";"01160";"Ferney-Voltaire";"0002";"1206";"491";"40,71%";"715";"59,29%";"475";"39,39%";"96,74%";"7";"0,58%";"1,43%";"9";"0,75%";"1,83%";"1";"PHILIPPS";"Pierre-Marie";"M";"LDVC";"Une Energie Nouvelle Pour Ferney";"Une Energie Nouvelle Pour Ferney";"311";"25,79%";"65,47%";"";"28";"5";"3";"KASTLER";"Jean-Loup";"M";"LECO";"FERNEY EN GRAND";"FERNEY EN GRAND";"164";"13,60%";"34,53%";"";"5";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01";"Ain";"01160";"Ferney-Voltaire";"0003";"1184";"442";"37,33%";"742";"62,67%";"421";"35,56%";"95,25%";"17";"1,44%";"3,85%";"4";"0,34%";"0,90%";"1";"PHILIPPS";"Pierre-Marie";"M";"LDVC";"Une Energie Nouvelle Pour Ferney";"Une Energie Nouvelle Pour Ferney";"252";"21,28%";"59,86%";"";"28";"5";"3";"KASTLER";"Jean-Loup";"M";"LECO";"FERNEY EN GRAND";"FERNEY EN GRAND";"169";"14,27%";"40,14%";"";"5";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01";"Ain";"01160";"Ferney-Voltaire";"0004";"1169";"631";"53,98%";"538";"46,02%";"621";"53,12%";"98,42%";"5";"0,43%";"0,79%";"5";"0,43%";"0,79%";"1";"PHILIPPS";"Pierre-Marie";"M";"LDVC";"Une Energie Nouvelle Pour Ferney";"Une Energie Nouvelle Pour Ferney";"424";"36,27%";"68,28%";"";"28";"5";"3";"KASTLER";"Jean-Loup";"M";"LECO";"FERNEY EN GRAND";"FERNEY EN GRAND";"197";"16,85%";"31,72%";"";"5";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01";"Ain";"01194";"Jassans-Riottier";"0001";"1067";"670";"62,79%";"397";"37,21%";"653";"61,20%";"97,46%";"16";"1,50%";"2,39%";"1";"0,09%";"0,15%";"1";"COLOMBIER";"Jean-François";"M";"LDVD";"UN NOUVEL ELAN POUR JASSANS-RIOTTIER";"UN NOUVEL ELAN POUR JASSANS-RIOTTIER";"204";"19,12%";"31,24%";"";"5";"1";"2";"REVERCHON";"Jean-Pierre";"M";"LDIV";"JASSANS-RIOTTIER AGIR ET RÉALISER";"JASSANS-RIOTTIER AGIR ET RÉALISER";"129";"12,09%";"19,75%";"";"2";"0";"4";"REIX";"Marie-Laure";"F";"LDIV";"JASSANS-RIOTTIER VILLE D'AVENIR";"JASSANS-RIOTTIER VILLE D'AVENIR";"320";"29,99%";"49,00%";"";"22";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01";"Ain";"01194";"Jassans-Riottier";"0002";"1116";"574";"51,43%";"542";"48,57%";"563";"50,45%";"98,08%";"9";"0,81%";"1,57%";"2";"0,18%";"0,35%";"1";"COLOMBIER";"Jean-François";"M";"LDVD";"UN NOUVEL ELAN POUR JASSANS-RIOTTIER";"UN NOUVEL ELAN POUR JASSANS-RIOTTIER";"248";"22,22%";"44,05%";"";"5";"1";"2";"REVERCHON";"Jean-Pierre";"M";"LDIV";"JASSANS-RIOTTIER AGIR ET RÉALISER";"JASSANS-RIOTTIER AGIR ET RÉALISER";"102";"9,14%";"18,12%";"";"2";"0";"4";"REIX";"Marie-Laure";"F";"LDIV";"JASSANS-RIOTTIER VILLE D'AVENIR";"JASSANS-RIOTTIER VILLE D'AVENIR";"213";"19,09%";"37,83%";"";"22";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01";"Ain";"01194";"Jassans-Riottier";"0003";"1114";"577";"51,80%";"537";"48,20%";"559";"50,18%";"96,88%";"11";"0,99%";"1,91%";"7";"0,63%";"1,21%";"1";"COLOMBIER";"Jean-François";"M";"LDVD";"UN NOUVEL ELAN POUR JASSANS-RIOTTIER";"UN NOUVEL ELAN POUR JASSANS-RIOTTIER";"198";"17,77%";"35,42%";"";"5";"1";"2";"REVERCHON";"Jean-Pierre";"M";"LDIV";"JASSANS-RIOTTIER AGIR ET RÉALISER";"JASSANS-RIOTTIER AGIR ET RÉALISER";"105";"9,43%";"18,78%";"";"2";"0";"4";"REIX";"Marie-Laure";"F";"LDIV";"JASSANS-RIOTTIER VILLE D'AVENIR";"JASSANS-RIOTTIER VILLE D'AVENIR";"256";"22,98%";"45,80%";"";"22";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01";"Ain";"01194";"Jassans-Riottier";"0004";"1090";"648";"59,45%";"442";"40,55%";"631";"57,89%";"97,38%";"12";"1,10%";"1,85%";"5";"0,46%";"0,77%";"1";"COLOMBIER";"Jean-François";"M";"LDVD";"UN NOUVEL ELAN POUR JASSANS-RIOTTIER";"UN NOUVEL ELAN POUR JASSANS-RIOTTIER";"175";"16,06%";"27,73%";"";"5";"1";"2";"REVERCHON";"Jean-Pierre";"M";"LDIV";"JASSANS-RIOTTIER AGIR ET RÉALISER";"JASSANS-RIOTTIER AGIR ET RÉALISER";"109";"10,00%";"17,27%";"";"2";"0";"4";"REIX";"Marie-Laure";"F";"LDIV";"JASSANS-RIOTTIER VILLE D'AVENIR";"JASSANS-RIOTTIER VILLE D'AVENIR";"347";"31,83%";"54,99%";"";"22";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01";"Ain";"01249";"Miribel";"0001";"1439";"827";"57,47%";"612";"42,53%";"811";"56,36%";"98,07%";"6";"0,42%";"0,73%";"10";"0,69%";"1,21%";"1";"DESCOURS";"Nathalie";"F";"LDVC";"CAP SUR DEMAIN - MIRIBEL - LE MAS RILLIER - LES ECHETS";"CAP SUR DEMAIN - MIRIBEL - LE MAS RILLIER - LES ECHETS";"83";"5,77%";"10,23%";"";"1";"0";"2";"BOYET";"Jérôme";"M";"LDIV";"MIRIBEL C'EST VOUS";"MIRIBEL C'EST VOUS";"302";"20,99%";"37,24%";"";"6";"3";"3";"VIRICEL";"Sylvie";"F";"LDIV";"MIRIBEL AU COEUR";"MIRIBEL AU COEUR";"325";"22,59%";"40,07%";"";"24";"10";"4";"NAZARET";"Tanguy";"M";"LDVD";"Miribel, responsable et ambitieuse";"Miribel, responsable et ambitieuse";"101";"7,02%";"12,45%";"";"2";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"01";"Ain";"01249";"Miribel";"0002";"1335";"701";"52,51%";"634";"47,49%";"692";"51,84%";"98,72%";"7";"0,52%";"1,00%";"2";"0,15%";"0,29%";"1";"DESCOURS";"Nathalie";"F";"LDVC";"CAP SUR DEMAIN - MIRIBEL - LE MAS RILLIER - LES ECHETS";"CAP SUR DEMAIN - MIRIBEL - LE MAS RILLIER - LES ECHETS";"72";"5,39%";"10,40%";"";"1";"0";"2";"BOYET";"Jérôme";"M";"LDIV";"MIRIBEL C'EST VOUS";"MIRIBEL C'EST VOUS";"262";"19,63%";"37,86%";"";"6";"3";"3";"VIRICEL";"Sylvie";"F";"LDIV";"MIRIBEL AU COEUR";"MIRIBEL AU COEUR";"269";"20,15%";"38,87%";"";"24";"10";"4";"NAZARET";"Tanguy";"M";"LDVD";"Miribel, responsable et ambitieuse";"Miribel, responsable et ambitieuse";"89";"6,67%";"12,86%";"";"2";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
